employee Id,employee name,email,password,TFN,Street Address,Contact number,User Type,User Status,store id
1053,Joseph X. Preston,iaculis@diamdictumsapien.co.uk,vestibulum,3888888941,186 Neerim Road,(06) 9597 7692,Staff,ACTIVE,9
1054,Claudia Foreman,Praesent@ametconsectetuer.co.uk,ullamcorper,3888888942,187 Neerim Road,(05) 9480 9849,Staff,ACTIVE,8
1055,Maisie Bridges,venenatis@ac.org,tempus,3888888943,188 Neerim Road,(06) 9034 6124,Manager,ACTIVE,9
1056,Owen Clarke,malesuada@temporaugueac.net,neque,3888888944,189 Neerim Road,(06) 1867 6538,Staff,ACTIVE,9
1057,Adara X. Frederick,et.nunc.Quisque@pedenec.ca,pellentesque,3888888945,190 Neerim Road,(08) 5543 1138,Staff,ACTIVE,6
1058,Hope Ford,tempus.lorem@Etiamvestibulum.com,lorem,3888888946,191 Neerim Road,(07) 2130 1496,Manager,ACTIVE,7
1059,Mannix H. Taylor,Integer@elitsedconsequat.net,consectetuer,3888888947,192 Neerim Road,(03) 7011 0378,Staff,ACTIVE,1
1060,Chiquita Blevins,Nullam@semelitpharetra.com,cursus,3888888948,193 Neerim Road,(02) 9054 3163,Staff,ACTIVE,9
1061,Chloe N. Walsh,ac.ipsum.Phasellus@turpis.edu,elementum,3888888949,194 Neerim Road,(03) 0232 5244,Staff,ACTIVE,1
1062,Octavius Hines,metus.urna.convallis@Quisquepurussapien.com,parturient,3888888950,195 Neerim Road,(08) 5004 6486,Manager,ACTIVE,3
1063,Curran N. Barron,auctor@mauris.ca,feugiat,3888888951,196 Neerim Road,(03) 3751 3356,Staff,ACTIVE,9
1064,Roth Yates,ac.risus@pede.ca,luctus,3888888952,197 Neerim Road,(05) 6584 3533,Staff,ACTIVE,8
1065,Odette Koch,lacinia.at.iaculis@etmagnisdis.net,id,3888888953,198 Neerim Road,(09) 2592 0863,Staff,ACTIVE,9
1066,Justine N. Rios,ipsum@tincidunttempusrisus.org,non,3888888954,199 Neerim Road,(02) 5931 3081,Staff,ACTIVE,4
1067,Quail R. Robinson,ac@diamvel.edu,natoque,3888888955,200 Neerim Road,(06) 2003 9627,Manager,ACTIVE,1
1068,Farrah M. Dillon,lorem@varius.com,Integer,3888888956,201 Neerim Road,(03) 5954 1411,Staff,ACTIVE,3
1069,Tyler F. Callahan,vitae.purus@Suspendisse.org,natoque,3888888957,202 Neerim Road,(05) 1033 6971,Manager,ACTIVE,2
1070,Xanthus K. Sheppard,lorem@vitaeodio.edu,non,3888888958,203 Neerim Road,(05) 2155 4848,Staff,ACTIVE,9
1071,Cyrus L. Grimes,dui.lectus@vellectusCum.co.uk,montes,3888888959,204 Neerim Road,(05) 1436 5829,Manager,ACTIVE,10
1072,Bryar Keith,ligula@dictumProineget.org,quis,3888888960,205 Neerim Road,(09) 7184 1127,Manager,ACTIVE,1
1073,Mason M. Berger,eros.nec.tellus@neque.com,pede.,3888888961,206 Neerim Road,(03) 0547 3758,Staff,ACTIVE,9
1074,Carly Jones,egestas@nullaInteger.org,Donec,3888888962,207 Neerim Road,(08) 4232 8838,Staff,ACTIVE,10
1075,Vivien Rodriguez,augue.malesuada@orciconsectetuer.net,est.,3888888963,208 Neerim Road,(04) 1031 8071,Manager,ACTIVE,7
1076,Xena G. Mcfarland,gravida@morbitristiquesenectus.org,sit,3888888964,209 Neerim Road,(09) 1753 8548,Manager,ACTIVE,6
1077,Daryl L. Roberson,erat@vitaeodiosagittis.ca,dolor,3888888965,210 Neerim Road,(08) 4381 9898,Manager,ACTIVE,1
1078,Lev Allen,fringilla@acarcu.edu,felis,3888888966,211 Neerim Road,(06) 4506 2200,Staff,ACTIVE,4
1079,Leilani Strong,ac@enimcondimentumeget.com,augue.,3888888967,212 Neerim Road,(03) 8824 0139,Staff,ACTIVE,8
1080,Owen Higgins,egestas@feugiattelluslorem.co.uk,sit,3888888968,213 Neerim Road,(01) 5686 2441,Manager,ACTIVE,2
1081,Jorden M. Petty,congue.a.aliquet@facilisisfacilisismagna.net,sem,3888888969,214 Neerim Road,(02) 0566 9165,Manager,ACTIVE,6
1082,Keaton Daniels,tellus.eu@dolor.co.uk,mattis,3888888970,215 Neerim Road,(07) 2960 3921,Manager,ACTIVE,10
1083,Beck Austin,ante.dictum@habitantmorbi.org,quam,3888888971,216 Neerim Road,(03) 8074 8751,Manager,ACTIVE,5
1084,Meredith Best,Fusce.aliquam.enim@sitamet.org,Nam,3888888972,217 Neerim Road,(01) 9751 7748,Manager,ACTIVE,5
1085,Scott Boyle,magna.malesuada@AeneanmassaInteger.net,tempor,3888888973,218 Neerim Road,(03) 9347 6836,Staff,ACTIVE,1
1086,Elton X. Mathews,a.neque@et.net,fringilla,3888888974,219 Neerim Road,(02) 7984 8240,Staff,ACTIVE,10
1087,Jeremy G. Salazar,facilisis.non.bibendum@vitae.ca,Integer,3888888975,220 Neerim Road,(09) 1460 5908,Staff,ACTIVE,8
1088,Ralph Y. Giles,sodales@id.edu,Nullam,3888888976,221 Neerim Road,(06) 1926 1327,Manager,ACTIVE,9
1089,Brandon W. Melendez,ut.mi.Duis@augue.com,nec,3888888977,222 Neerim Road,(05) 6494 5558,Manager,ACTIVE,8
1090,Denton Stokes,congue@orciquislectus.co.uk,Cras,3888888978,223 Neerim Road,(02) 4464 9995,Staff,ACTIVE,1
1091,Garrett Z. Frost,Mauris.blandit.enim@arcu.ca,augue,3888888979,224 Neerim Road,(09) 4686 0542,Manager,ACTIVE,10
1092,Gareth Parsons,Sed@ullamcorpernisl.net,Aliquam,3888888980,225 Neerim Road,(02) 5137 0647,Staff,ACTIVE,7
1093,Bree E. Dudley,at@semelit.org,dapibus,3888888981,226 Neerim Road,(01) 6883 4305,Staff,ACTIVE,1
1094,Kaye Swanson,est.Nunc.ullamcorper@idrisusquis.net,vulputate,3888888982,227 Neerim Road,(09) 9081 8242,Manager,ACTIVE,2
1095,Evelyn U. Holcomb,porttitor@pharetrasedhendrerit.org,nec,3888888983,228 Neerim Road,(03) 5242 2315,Staff,ACTIVE,6
1096,Steven Gallegos,eget.tincidunt@dapibusidblandit.com,In,3888888984,229 Neerim Road,(07) 1401 9115,Manager,ACTIVE,3
1097,Ginger S. Spears,luctus.et@magnaet.com,Mauris,3888888985,230 Neerim Road,(07) 9223 4680,Staff,ACTIVE,5
1098,Octavius Lynch,metus.In.lorem@id.edu,tristique,3888888986,231 Neerim Road,(07) 6292 2891,Manager,ACTIVE,1
1099,Hamilton Mercado,libero.lacus.varius@sodalespurus.ca,eu,3888888987,232 Neerim Road,(03) 5405 2810,Staff,ACTIVE,8
